Band Value,Clay_Percent Count
1,2.314
1.063,
1.125,
1.188,
1.25,
1.313,
1.375,
1.438,
1.5,
1.563,
1.625,6
1.688,
1.75,
1.813,
1.875,
1.938,
2,4
2.063,
2.125,
2.188,
2.25,
2.313,136.294
2.375,
2.438,
2.5,
2.563,
2.625,18
2.688,
2.75,
2.813,
2.875,
2.938,
3,539.412
3.063,
3.125,
3.188,
3.25,
3.313,58.78
3.375,
3.438,
3.5,
3.563,
3.625,15.314
3.688,
3.75,
3.813,
3.875,
3.938,
4,425.518
4.063,
4.125,
4.188,
4.25,
4.313,67.451
4.375,
4.438,
4.5,
4.563,
4.625,34.004
4.688,
4.75,
4.813,
4.875,
4.938,
5,"3,738.702"
5.063,
5.125,
5.188,
5.25,
5.313,524.992
5.375,
5.438,
5.5,
5.563,
5.625,
5.688,
5.75,
5.813,
5.875,
5.938,
6,"40,705.235"
6.063,
6.125,
6.188,
6.25,
6.313,
6.375,
6.438,
6.5,
6.563,
6.625,
6.688,
6.75,
6.813,
6.875,
6.938,
7,"4,533.408"
7.063,
7.125,
7.188,
7.25,
7.313,
7.375,
7.438,
7.5,
7.563,
7.625,
7.688,
7.75,
7.813,
7.875,
7.938,
8,"9,464.133"
8.063,
8.125,
8.188,
8.25,
8.313,
8.375,
8.438,
8.5,
8.563,
8.625,
8.688,
8.75,
8.813,
8.875,
8.938,
9,"5,195.929"
9.063,
9.125,
9.188,
9.25,
9.313,1
9.375,
9.438,
9.5,
9.563,
9.625,513.663
9.688,
9.75,
9.813,
9.875,
9.938,
10,
10.063,
10.125,
10.188,
10.25,
10.313,914.443
10.375,
10.438,
10.5,
10.563,
10.625,
10.688,
10.75,
10.813,
10.875,
10.938,
11,407.722
11.063,
11.125,
11.188,
11.25,
11.313,9
11.375,
11.438,
11.5,
11.563,
11.625,5
